key,ko,en
app.title,슬래그마 · 용광로의 수호자,Slagma · Guardians of the Forge
common.close,닫기,Close
common.continue,계속하기,Continue
common.level,Lv.{n},Lv.{n}
common.notOwned,미보유,Not owned
common.confirm,확인,OK
lobby.stamina.chargeAria,행동력 {n} 충전,Recharge {n} stamina
lobby.stamina.full,행동력 충전 완료,Stamina full
lobby.stamina.timer,+1 회복 {time},+1 in {time}
lobby.stamina.chargeCount,충전 {n}회,{n} recharges
lobby.prepare.waiting,행동력 회복 중 <small>{current} / {need}</small>,Stamina recovering <small>{current} / {need}</small>
lobby.prepare.ready,{sword} 전투 준비 <small>{energy} {cost}</small>,{sword} Prepare <small>{energy} {cost}</small>
lobby.stage.eyebrow,모험 · {id},Journey · {id}
lobby.stage.meta,{waves} 웨이브 · 클리어 <b>+{gold}</b> 골드,{waves} waves · Clear <b>+{gold}</b> gold
lobby.party.title,출전 부대,Squad
lobby.party.change,편성 변경 ›,Edit squad ›
lobby.party.memberAria,{name} 레벨 {level} 상세,"{name}, level {level}, details"
lobby.party.avgAtk,평균 공격력,Avg. attack
lobby.party.totalHp,총 체력,Total HP
lobby.skills.equipped,장착 스킬,Equipped skills
lobby.footnote,클리어하면 다음 지역이 열립니다,Clear the stage to unlock the next region
lobby.nav.aria,로비 메뉴,Lobby menu
lobby.nav.home,모험,Journey
lobby.nav.characters,수호자,Guardians
lobby.nav.skills,스킬,Skills
lobby.nav.upgrade,강화,Upgrade
character.eyebrow,GUARDIANS,GUARDIANS
character.title,수호자,Guardians
character.count,{owned} / {total} 보유,{owned} / {total} owned
character.modal.closeAria,캐릭터 상세 닫기,Close guardian details
character.formation.title,출전 부대,Squad
character.formation.hint,슬롯을 눌러 수호자 교체,Tap a slot to swap
character.formation.slotAria,{module} 편성 {name} 레벨 {level},"{module} slot, {name}, level {level}"
character.formation.hp,체력,HP
character.formation.def,방어,DEF
character.formation.atk,평균 공격,Avg. ATK
character.filter.aria,특화 미사일 필터,Filter by missile
character.filter.all,전체,All
character.roster.sort,보유 우선 · 높은 등급순,Owned first · Highest rarity
character.roster.ownedOnly,보유만 보기,Owned only
character.roster.aria,{name} {rarity} {state} 상세,"{name}, {rarity}, {state}, details"
character.roster.levelState,레벨 {level},level {level}
character.roster.deployed,출전,Active
character.roster.growable,성장 가능,Can grow
character.detail.specialty,{module} 특화,{module} specialist
character.detail.statAtk,공격력,Attack
character.detail.statDef,방어력,Defense
character.detail.statHp,체력,HP
character.detail.rankUpStat,승급 시 {value},{value} at next star
character.detail.baseStat,기본 능력치,Base stat
character.detail.starPassive,성급 패시브 · {n}성 해금,Star passive · unlocks at {n}★
character.detail.innatePassive,고정 패시브,Innate passive
character.detail.sharedLevel,레벨은 {module} 공용 레벨을 따릅니다 · 강화에서 올립니다,Level follows the shared {module} track · raise it in Upgrade
character.detail.starfire,보유 별불,Starfire held
character.detail.unlockHint,{module} 공용 레벨 {level}에서 해금됩니다.,Unlocks at shared {module} level {level}.
character.detail.rankUp,성급 올리기,Star up
character.detail.rankCost,별불 {n},{n} starfire
character.detail.rankMax,최대 성급,Max star
character.detail.deployed,{module} 슬롯 출전 중,In {module} slot
character.detail.deploy,출전 부대에 편성,Add to squad
character.detail.goUpgrade,강화하러 가기,Go to Upgrade
character.toast.grown,{name} 성장 완료,{name} grew stronger
character.toast.deployed,{name} · {module} 편성 완료,{name} · {module} slot set
passive.scopeAll,전체,All
passive.factor,{scope} {stat} +{pct}%,{scope} {stat} +{pct}%
passive.statusOnHit,적중 시 {chance}% 확률로 {status} {duration}초,{chance}% chance on hit to apply {status} for {duration}s
passive.damageVsStatus,{status} 상태의 적에게 피해 +{pct}%,+{pct}% damage to {status} enemies
passive.formation,{tag} {count}명 편성 시 {scope} {stat} +{pct}%,With {count} {tag} in the squad: {scope} {stat} +{pct}%
passive.rule.unusedTargetBonus,남은 연결 횟수당 첫 대상 피해 +{pct}%,+{pct}% first-target damage per unused chain jump
passive.rule.centerDamageBonus,중앙 탄환 피해 +{pct}%,+{pct}% center pellet damage
passive.rule.secondary,처치 시 2차 폭발 · 피해 {damage}% / 반경 {radius}%,Secondary blast on kill · {damage}% damage / {radius}% radius
passive.rule.empowered,{chance}% 확률로 강화 레이저 · 피해 +{damage}% / 폭 +{width}%,{chance}% chance of an empowered laser · +{damage}% damage / +{width}% width
passive.rule.focused,광선에 적이 1기만 걸리면 그 대상 피해 +{damage}%,+{damage}% damage when the beam hits only one enemy
skill.eyebrow,TACTICAL SKILLS,TACTICAL SKILLS
skill.title,전투 스킬,Combat Skills
skill.count,{owned} / {total} 보유,{owned} / {total} owned
skill.modal.closeAria,스킬 상세 닫기,Close skill details
skill.equipped.title,장착 스킬 · 전투 능력치에 합산,Equipped skills · added to combat stats
skill.slotName,{index}. {name},{index}. {name}
skill.slotLine,Lv.{level} · {effect},Lv.{level} · {effect}
skill.card.locked,스킬 슬롯 레벨로 해금,Unlocked by skill slot level
skill.card.unequipped,미장착,Not equipped
skill.detail.active,액티브 효과,Active effect
skill.detail.cooldown,쿨타임 {sec}초 · {growth},Cooldown {sec}s · {growth}
skill.detail.growthDuration,성급 상승 시 지속 +{sec}초,+{sec}s duration per star
skill.detail.growthEffect,성급 상승 시 효과 성장,Effect grows per star
skill.detail.levelOfMax,Lv.{level} / {max},Lv.{level} / {max}
skill.detail.stats,장착 능력치,Equip stats
skill.detail.statAtk,공격,ATK
skill.detail.statDef,방어,DEF
skill.detail.statHp,체력,HP
skill.detail.nextStat,다음 레벨 +{value},Next level +{value}
skill.detail.maxStat,현재 최대,At max
skill.detail.sharedLevel,레벨은 {n}번 스킬 슬롯의 공용 레벨을 따릅니다 · 강화에서 올립니다,Level follows shared skill slot {n} · raise it in Upgrade
skill.detail.unequippedLevel,장착하면 그 슬롯의 공용 레벨을 그대로 씁니다,Equip it to use that slot's shared level
skill.detail.starfire,보유 별불,Starfire held
skill.detail.unlockHint,두 스킬 슬롯 레벨 합계가 {need}가 되면 미보유 스킬 중 하나가 무작위로 열립니다. 현재 {current},"At a combined skill slot level of {need}, one unowned skill unlocks at random. Currently {current}"
skill.detail.unlockDone,스킬을 모두 모았습니다.,Every combat skill is collected.
skill.detail.rankUp,성급 올리기,Star up
skill.detail.rankCost,별불 {n},{n} starfire
