stage,waves,bosses,waveGold,clearGold,directGold,cumDirectGold,milestoneGold,cumMilestoneGold,cumGold,milestoneStarfire,cumStarfire,repeatGold,repeatStarfire,hpScale,atkScale,tier_skills_used,tier_orders,tier_merges,tier_stage_clear,tier_best_wave,tier_waves,tier_bosses
1,10,3,10,100,200,200,0,0,200,376,376,290,0,0.7,1,0,0,0,1,2,0,0
2,20,5,11,109,329,529,90,90,619,332,708,431,0,0.8474999999999999,1.13,0,0,0,2,3,1,1
3,30,5,12,118,478,1007,102,192,1199,436,1144,592,0,1.0215199999999998,1.2768999999999997,0,0,0,3,5,2,2
4,30,5,13,128,518,1525,114,306,1831,277,1421,583,0,1.4428969999999997,1.4428969999999997,0,0,0,4,5,3,3
5,30,5,14,139,559,2084,65,371,2455,287,1708,697,0,1.6304736099999992,1.6304736099999992,0,0,0,5,5,4,3
6,30,5,15,150,600,2684,138,509,3193,297,2005,756,0,1.8424351792999991,1.8424351792999991,0,0,0,6,5,5,4
7,30,5,16,163,643,3327,156,665,3992,307,2312,737,0,2.081951752608999,2.081951752608999,0,0,0,7,5,6,5
8,30,5,18,177,717,4044,94,759,4803,318,2630,906,0,2.3526054804481684,2.3526054804481684,0,0,0,8,5,7,5
9,30,5,19,192,762,4806,189,948,5754,329,2959,856,0,2.65844419290643,2.65844419290643,0,0,0,9,5,8,6
10,30,5,21,208,838,5644,94,1042,6686,341,3300,958,0,3.0040419379842658,3.0040419379842658,0,0,0,10,5,8,7
11,30,5,23,226,916,6560,120,1162,7722,353,3653,1157,0,3.39456738992222,3.39456738992222,0,0,0,11,5,9,7
12,30,5,25,245,995,7555,241,1403,8958,365,4018,995,0,3.835861150612108,3.835861150612108,0,0,0,12,5,10,8
13,30,5,27,266,1076,8631,0,1403,10034,378,4396,1229,0,4.3345231001916815,4.3345231001916815,0,0,0,13,5,10,8
14,30,5,29,289,1159,9790,153,1556,11346,391,4787,1279,0,4.8980111032166,4.8980111032166,0,0,0,14,5,11,8
15,30,5,31,313,1243,11033,120,1676,12709,405,5192,1416,0,5.534752546634757,5.534752546634757,0,0,0,15,5,11,9
16,30,5,34,340,1360,12393,173,1849,14242,419,5611,1495,0,6.254270377697275,6.254270377697275,0,0,0,16,5,12,9
17,30,5,37,369,1479,13872,135,1984,15856,433,6044,1674,0,7.06732552679792,7.06732552679792,0,0,0,17,5,12,10
18,30,5,40,400,1600,15472,195,2179,17651,449,6493,1600,0,7.986077845281649,7.986077845281649,0,0,0,18,5,13,10
19,30,5,43,434,1724,17196,0,2179,19375,464,6957,2097,0,9.024267965168264,9.024267965168264,0,0,0,19,5,13,10
20,30,5,47,471,1881,19077,373,2552,21629,481,7438,1881,0,10.197422800640137,10.197422800640137,0,0,0,20,5,14,11
